"Title"	"Author"	"Modified"	"Type"
"SQL Server Index Design Guide"	"Microsoft"	"?"	"[BIDX]"
"SQL Server 2012 Security Best Practices - Microsoft"	"Bob Beauchemin"	"2012-01-15"	""
"Help, my database is corrupt. Now what?"	"Gail Shaw"	"2010-04-23"	"[COR]"
"Understanding how SQL Server executes a query"	"Remus Rusanu"	"2016-04-15"	""
"What to Do When DBCC CHECKDB Reports Corruption"	"Brent Ozar"	"2016-05-19"	"[COR]"
"Troubleshooting SQL Server CPU Performance Issues"	"Joe Sack"	"2013-05-28"	"[P]"
"Knee-Jerk Performance Tuning : Incorrect Use of Temporary Tables"	"Paul Randal"	"2016-04-06"	"[P]"
"High Performance T-SQL using Code Patterns"	"Dwain Camps"	"2015-05-27"	""
"SQL Server Database Corruption Repair"	"Steve Stedman"	"2015-08-26"	"[COR]"
"Basic SQL Server Performance Troubleshooting For Developers"	"Tony Davis"	"2015-08-14"	"[P]"
"The Curse and Blessings of Dynamic SQL"	"Erland Sommarskog"	"2015-04-14"	"[DS]"
"Dynamic Search Conditions in T-SQL"	"Erland Sommarskog"	"2016-10-29"	""
"Slow in the Application, Fast in SSMS"	"Erland Sommarskog"	"2013-12-18"	""
"How to share data between stored procedures"	"Erland Sommarskog"	"2013-11-02"	""
"Arrays and Lists in SQL Server 2008"	"Erland Sommarskog"	"2016-08-21"	""
"Giving Permissions through Stored Procedures"	"Erland Sommarskog"	"2011-12-31"	""
"Error and Transaction Handling in SQL Server"	"Erland Sommarskog"	"2015-05-03"	""
"Using the Bulk-Load Tools in SQL Server"	"Erland Sommarskog"	"2016-12-08"	""
"Using Table-Valued Parameters in SQL Server and .NET"	"Erland Sommarskog"	"2016-12-08"	""
"SQL Server Columnstore Articles"	"Niko Neugebauer"	"2016-05-09"	""
"Documentation: It Does not Suck!"	"Jes Schultz Borland"	"2013-01-15"	""
"The Data Loading Performance Guide"	"Thomas Kejser, Peter Carlin, Stuart Ozer"	"2009-01-15"	""
"Required Testing for Installing SQL Server Cumulative Updates and Service Packs"	"Kendra Little"	"2016-04-28"	""
"Stop Shrinking Your Database Files. Seriously. Now."	"Brent Ozar"	"2009-08-19"	""
"How to shrink a database in 4 easy steps"	"Andy Mallon"	"2016-04-28"	""
"Introduction to the Index Operational Statistics Dynamic Management Function"	"Tim Ford"	"2016-04-26"	"[BIDX]"
"Updating Statistics in SQL Server: Maintenance Questions & Answers"	"Kendra Little"	"2016-04-18"	""
"Overcoming Variable Limitations in SQLCmd Mode"	"Robert L Davis"	"2015-11-23"	""
"Contents of a Run Book"	"Microsoft"	"2002-11-12"	""
"Compressed and Encrypted Backups on the Cheap"	"Randolph West"	"2015-04-19"	"[B]"
"Curing Data-Obesity in OLTP Databases"	"Feodor Georgiev"	"2015-02-06"	""
"Understanding GRANT, DENY, and REVOKE in SQL Server"	"K. Brian Kelley"	"2013-02-27"	""
